GeneName	Type
ACVR1	Drivers
ACVR1B	Drivers
ACVR2A	Drivers
AJUBA	Drivers
AKT1	Drivers
ALB	Drivers
ALK	Drivers
AMER1	Drivers
APC	Drivers
APOB	Drivers
AR	Drivers
ARAF	Drivers
ARHGAP35	Drivers
ARID1A	Drivers
ARID2	Drivers
ARID5B	Drivers
ASXL1	Drivers
ASXL2	Drivers
ATF7IP	Drivers
ATM	Drivers
ATR	Drivers
ATRX	Drivers
ATXN3	Drivers
AXIN1	Drivers
AXIN2	Drivers
B2M	Drivers
BAP1	Drivers
BCL2	Drivers
BCL2L11	Drivers
BCOR	Drivers
BRAF	Drivers
BRCA1	Drivers
BRCA2	Drivers
BRD7	Drivers
BTG2	Drivers
CACNA1A	Drivers
CARD11	Drivers
CASP8	Drivers
CBFB	Drivers
CBWD3	Drivers
CCND1	Drivers
CD70	Drivers
CD79B	Drivers
CDH1	Drivers
CDK12	Drivers
CDK4	Drivers
CDKN1A	Drivers
CDKN1B	Drivers
CDKN2A	Drivers
CDKN2C	Drivers
CEBPA	Drivers
CHD3	Drivers
CHD4	Drivers
CHD8	Drivers
CHEK2	Drivers
CIC	Drivers
CNBD1	Drivers
COL5A1	Drivers
CREB3L3	Drivers
CREBBP	Drivers
CSDE1	Drivers
CTCF	Drivers
CTNNB1	Drivers
CTNND1	Drivers
CUL1	Drivers
CUL3	Drivers
CYLD	Drivers
CYSLTR2	Drivers
DACH1	Drivers
DAZAP1	Drivers
DDX3X	Drivers
DHX9	Drivers
DIAPH2	Drivers
DICER1	Drivers
DMD	Drivers
DNMT3A	Drivers
EEF1A1	Drivers
EEF2	Drivers
EGFR	Drivers
EGR3	Drivers
EIF1AX	Drivers
ELF3	Drivers
EP300	Drivers
EPAS1	Drivers
EPHA2	Drivers
EPHA3	Drivers
ERBB2	Drivers
ERBB3	Drivers
ERBB4	Drivers
ERCC2	Drivers
ESR1	Drivers
EZH2	Drivers
FAM46D	Drivers
FAT1	Drivers
FBXW7	Drivers
FGFR1	Drivers
FGFR2	Drivers
FGFR3	Drivers
FLNA	Drivers
FLT3	Drivers
FOXA1	Drivers
FOXA2	Drivers
FOXQ1	Drivers
FUBP1	Drivers
GABRA6	Drivers
GATA3	Drivers
GNA11	Drivers
GNA13	Drivers
GNAQ	Drivers
GNAS	Drivers
GPS2	Drivers
GRIN2D	Drivers
GTF2I	Drivers
H3F3A	Drivers
H3F3C	Drivers
HGF	Drivers
HIST1H1C	Drivers
HIST1H1E	Drivers
HLA-A	Drivers
HLA-B	Drivers
HRAS	Drivers
HUWE1	Drivers
IDH1	Drivers
IDH2	Drivers
IL6ST	Drivers
IL7R	Drivers
INPPL1	Drivers
IRF2	Drivers
IRF6	Drivers
JAK1	Drivers
JAK2	Drivers
JAK3	Drivers
KANSL1	Drivers
KDM5C	Drivers
KDM6A	Drivers
KEAP1	Drivers
KEL	Drivers
KIF1A	Drivers
KIT	Drivers
KLF5	Drivers
KMT2A	Drivers
KMT2B	Drivers
KMT2C	Drivers
KMT2D	Drivers
KRAS	Drivers
KRT222	Drivers
LATS1	Drivers
LATS2	Drivers
LEMD2	Drivers
LZTR1	Drivers
MACF1	Drivers
MAP2K1	Drivers
MAP2K4	Drivers
MAP3K1	Drivers
MAP3K4	Drivers
MAPK1	Drivers
MAX	Drivers
MECOM	Drivers
MED12	Drivers
MEN1	Drivers
MET	Drivers
MGA	Drivers
MGMT	Drivers
MLH1	Drivers
MSH2	Drivers
MSH3	Drivers
MSH6	Drivers
MTOR	Drivers
MUC6	Drivers
MYC	Drivers
MYCN	Drivers
